user_id,user_hash,age_group,city_level,register_days,total_pay_amount,is_vip,prefer_categories
user_00000,934e0313,35-44,一线城市,311,349.01,True,"财经,体育,娱乐"
user_00001,d6175048,35-44,三线及以下,119,158.52,True,"科技,时尚,娱乐,美食,游戏"
user_00002,7bec8d4d,25-34,一线城市,233,394.31,True,"财经,美食,教育,游戏,科技"
user_00003,121ab9bf,35-44,一线城市,462,656.91,True,"教育,体育,财经,游戏"
user_00004,e0381ad0,25-34,一线城市,129,129.75,True,"生活,教育,科技,时尚"
user_00005,5d54cae4,25-34,一线城市,417,129.76,True,"旅游,教育"
user_00006,5bbcbde0,45-54,二线城市,400,673.76,True,"娱乐,科技,财经"
user_00007,f3aec7b3,35-44,三线及以下,268,430.23,True,"游戏,教育"
user_00008,3086a4c1,25-34,三线及以下,196,59.16,False,"生活,财经,教育,时尚"
user_00009,de4c4785,55+,二线城市,653,362.77,True,"旅游,财经,体育"
user_00010,577bc522,25-34,新一线,685,60.97,False,"生活,科技,财经"
user_00011,2c102670,45-54,三线及以下,440,60.28,False,"娱乐,财经,生活,时尚"
user_00012,cb3c7343,35-44,新一线,688,272.59,True,"体育,教育,时尚,娱乐,生活"
user_00013,86371b5a,25-34,新一线,628,0.0,False,"时尚,游戏,生活,娱乐,旅游"
user_00014,474be967,25-34,一线城市,78,0.0,False,"体育,时尚"
user_00015,67c1d9f0,35-44,新一线,95,31.31,False,"游戏,美食,教育,旅游,科技"
user_00016,f149c33a,35-44,一线城市,579,0.0,False,"生活,娱乐,教育,财经"
user_00017,be90e79e,18-24,一线城市,299,294.27,True,"旅游,娱乐,教育"
user_00018,75a31fb9,45-54,二线城市,233,0.0,False,"生活,体育,科技"
user_00019,a88e4bbe,25-34,新一线,144,0.0,False,"教育,财经,科技,娱乐"
user_00020,6bba1967,45-54,三线及以下,117,639.69,True,"娱乐,旅游,体育,时尚,生活"
user_00021,9966a391,25-34,二线城市,301,132.27,True,"财经,旅游,时尚,生活,体育"
user_00022,770b20e5,25-34,二线城市,412,220.26,True,"旅游,美食,娱乐,时尚,游戏"
user_00023,be9fc9f0,18-24,一线城市,597,0.0,False,"时尚,财经,科技"
user_00024,3f51ce77,18-24,二线城市,264,36.69,False,"科技,生活"
user_00025,f56c95be,18-24,新一线,715,233.28,True,"财经,旅游,体育,生活,教育"
user_00026,6027b9b8,25-34,新一线,514,0.0,False,"财经,娱乐,旅游,生活,时尚"
user_00027,793731a5,25-34,新一线,85,312.71,True,"科技,游戏"
user_00028,d3885361,35-44,三线及以下,141,19.81,False,"财经,时尚,美食"
user_00029,522b2993,18-24,一线城市,503,112.49,True,"娱乐,美食,时尚"
user_00030,ff27d75d,18-24,三线及以下,45,19.49,False,"财经,体育"
user_00031,009d13c4,25-34,新一线,440,755.68,True,"体育,游戏"
user_00032,10d0d22b,18-24,新一线,495,195.95,True,"游戏,旅游,美食,娱乐"
user_00033,18570d67,18-24,新一线,89,0.0,False,"生活,科技"
user_00034,cc51941a,18-24,新一线,573,446.76,True,"科技,旅游,娱乐"
user_00035,95465751,45-54,一线城市,99,0.0,False,"游戏,娱乐,财经"
user_00036,512128a0,25-34,一线城市,113,262.66,True,"时尚,旅游,生活,体育,娱乐"
user_00037,ca617458,35-44,新一线,301,0.0,False,"体育,教育,美食,时尚,科技"
user_00038,072bf4b1,18-24,二线城市,606,0.0,False,"娱乐,旅游"
user_00039,e5036763,18-24,新一线,387,259.06,True,"财经,生活"
user_00040,263564d2,25-34,新一线,586,421.54,True,"时尚,旅游,科技,生活"
user_00041,c8559066,45-54,新一线,709,251.41,True,"体育,教育"
user_00042,17b043de,18-24,一线城市,596,165.31,True,"教育,时尚,财经"
user_00043,30ecbe5f,35-44,新一线,679,109.67,True,"旅游,美食,教育,游戏"
user_00044,ff36417f,18-24,二线城市,313,0.0,False,"科技,生活"
user_00045,6a20881a,35-44,二线城市,298,0.0,False,"美食,旅游,游戏"
user_00046,8638cc19,25-34,一线城市,182,61.81,False,"生活,旅游"
user_00047,b13dea1f,18-24,一线城市,345,517.14,True,"科技,生活,财经,旅游"
user_00048,cf092333,18-24,一线城市,603,303.09,True,"时尚,体育,财经,游戏,娱乐"
user_00049,982be76b,55+,三线及以下,452,0.0,False,"体育,生活"
user_00050,20fb163d,35-44,新一线,715,297.23,True,"教育,体育,娱乐"
user_00051,744e9b2c,25-34,一线城市,511,84.48,False,"财经,美食,生活"
user_00052,3567fae3,25-34,三线及以下,263,0.0,False,"科技,财经,游戏"
user_00053,3467ca5b,25-34,三线及以下,315,383.5,True,"旅游,游戏,生活,科技"
user_00054,68992fd7,18-24,三线及以下,212,509.3,True,"科技,娱乐,游戏,体育"
user_00055,ab3579b6,35-44,新一线,650,479.38,True,"游戏,财经"
user_00056,96f3a5be,25-34,二线城市,31,0.0,False,"生活,游戏,娱乐"
user_00057,f3e2b6c5,55+,三线及以下,668,107.24,True,"娱乐,教育,旅游,生活"
user_00058,b0b66abc,25-34,新一线,332,299.38,True,"财经,游戏,旅游"
user_00059,0f32cfbc,35-44,三线及以下,660,492.66,True,"游戏,旅游,科技,体育"
user_00060,83ec8706,25-34,新一线,623,56.25,False,"美食,时尚,旅游,生活"
user_00061,6fffa1be,18-24,新一线,203,144.3,True,"教育,旅游"
user_00062,9c6d4ee9,35-44,二线城市,125,0.0,False,"教育,财经,旅游"
user_00063,5da9bc7c,18-24,一线城市,516,0.0,False,"美食,游戏"
user_00064,8f424c50,45-54,二线城市,423,443.76,True,"游戏,财经,体育,生活,时尚"
user_00065,c0ab942e,18-24,三线及以下,139,606.87,True,"财经,体育,美食,科技,教育"
user_00066,b734bea8,18-24,三线及以下,497,178.4,True,"美食,旅游,生活"
user_00067,e3c40b12,55+,三线及以下,657,501.06,True,"旅游,美食,体育,生活,财经"
user_00068,8bbcff03,25-34,三线及以下,682,308.49,True,"旅游,美食,财经,体育"
